,timestamp,answer,txDate
0,1615457912,0.01659,2021-03-11 10:18:32+00:00
1,1615472456,0.01640634,2021-03-11 14:20:56+00:00
2,1615496743,0.016240855261073123,2021-03-11 21:05:43+00:00
3,1615499335,0.016415267842431587,2021-03-11 21:48:55+00:00
4,1615552052,0.01625021,2021-03-12 12:27:32+00:00
5,1615565191,0.016053544945440503,2021-03-12 16:06:31+00:00
6,1615594210,0.015890906441323953,2021-03-13 00:10:10+00:00
7,1615596520,0.01573087,2021-03-13 00:48:40+00:00
8,1615604128,0.01590313,2021-03-13 02:55:28+00:00
9,1615630104,0.016065746440882978,2021-03-13 10:08:24+00:00
10,1615631945,0.01590376,2021-03-13 10:39:05+00:00
11,1615651572,0.01607859537256923,2021-03-13 16:06:12+00:00
12,1615658312,0.01590416,2021-03-13 17:58:32+00:00
13,1615663439,0.015742186940219637,2021-03-13 19:23:59+00:00
14,1615666104,0.01558281,2021-03-13 20:08:24+00:00
15,1615702796,0.0154259,2021-03-14 06:19:56+00:00
16,1615712039,0.015586079585019293,2021-03-14 08:53:59+00:00
17,1615766636,0.015426200664954074,2021-03-15 00:03:56+00:00
18,1615782856,0.01558443,2021-03-15 04:34:16+00:00
19,1615785524,0.01540813,2021-03-15 05:18:44+00:00
20,1615786679,0.01525149,2021-03-15 05:37:59+00:00
21,1615789923,0.015413905841281952,2021-03-15 06:32:03+00:00
22,1615804782,0.01557394,2021-03-15 10:39:42+00:00
23,1615823722,0.015413100565236553,2021-03-15 15:55:22+00:00
24,1615867448,0.01557,2021-03-16 04:04:08+00:00
25,1615892029,0.015413974836992658,2021-03-16 10:53:49+00:00
26,1615927332,0.01525653,2021-03-16 20:42:12+00:00
27,1615930265,0.01541972,2021-03-16 21:31:05+00:00
28,1615943799,0.01558397,2021-03-17 01:16:39+00:00
29,1615962801,0.01575677,2021-03-17 06:33:21+00:00
30,1615986375,0.01594212,2021-03-17 13:06:15+00:00
31,1615986525,0.01612175,2021-03-17 13:08:45+00:00
32,1615986674,0.01630890744869741,2021-03-17 13:11:14+00:00
33,1615987016,0.01650014,2021-03-17 13:16:56+00:00
34,1615987387,0.01667,2021-03-17 13:23:07+00:00
35,1615987676,0.01683689,2021-03-17 13:27:56+00:00
36,1615988041,0.01684,2021-03-17 13:34:01+00:00
37,1615989999,0.01701458,2021-03-17 14:06:39+00:00
38,1615992344,0.016841,2021-03-17 14:45:44+00:00
39,1615996643,0.01703,2021-03-17 15:57:23+00:00
40,1615996659,0.017051670696317047,2021-03-17 15:57:39+00:00
41,1615997131,0.01724199,2021-03-17 16:05:31+00:00
42,1615999510,0.01705297,2021-03-17 16:45:10+00:00
43,1616005681,0.01688237706368925,2021-03-17 18:28:01+00:00
44,1616031901,0.01670762351971426,2021-03-18 01:45:01+00:00
45,1616034027,0.01653,2021-03-18 02:20:27+00:00
46,1616040783,0.016363576764206997,2021-03-18 04:13:03+00:00
47,1616042443,0.0165412971641424,2021-03-18 04:40:43+00:00
48,1616044539,0.01637,2021-03-18 05:15:39+00:00
49,1616055267,0.016536735156403953,2021-03-18 08:14:27+00:00
50,1616080605,0.01673115,2021-03-18 15:16:45+00:00
51,1616083331,0.0165619447484632,2021-03-18 16:02:11+00:00
52,1616085192,0.016392287976064644,2021-03-18 16:33:12+00:00
53,1616100610,0.01655692,2021-03-18 20:50:10+00:00
54,1616130409,0.01672575,2021-03-19 05:06:49+00:00
55,1616141745,0.01655661250222491,2021-03-19 08:15:45+00:00
56,1616152014,0.0167239,2021-03-19 11:06:54+00:00
